選挙区名,都道府県,比例代表ブロック
北海道第1区,北海道,北海道
北海道第2区,北海道,北海道
北海道第3区,北海道,北海道
北海道第4区,北海道,北海道
北海道第5区,北海道,北海道
北海道第6区,北海道,北海道
北海道第7区,北海道,北海道
北海道第8区,北海道,北海道
北海道第9区,北海道,北海道
北海道第10区,北海道,北海道
北海道第11区,北海道,北海道
北海道第12区,北海道,北海道
青森県第1区,青森県,東北
青森県第2区,青森県,東北
青森県第3区,青森県,東北
岩手県第1区,岩手県,東北
岩手県第2区,岩手県,東北
岩手県第3区,岩手県,東北
宮城県第1区,宮城県,東北
宮城県第2区,宮城県,東北
宮城県第3区,宮城県,東北
宮城県第4区,宮城県,東北
宮城県第5区,宮城県,東北
宮城県第6区,宮城県,東北
秋田県第1区,秋田県,東北
秋田県第2区,秋田県,東北
山形県第1区,山形県,東北
山形県第2区,山形県,東北
山形県第3区,山形県,東北
福島県第1区,福島県,東北
福島県第2区,福島県,東北
福島県第3区,福島県,東北
福島県第4区,福島県,東北
福島県第5区,福島県,東北
茨城県第1区,茨城県,北関東
茨城県第2区,茨城県,北関東
茨城県第3区,茨城県,北関東
茨城県第4区,茨城県,北関東
茨城県第5区,茨城県,北関東
茨城県第6区,茨城県,北関東
茨城県第7区,茨城県,北関東
栃木県第1区,栃木県,北関東
栃木県第2区,栃木県,北関東
栃木県第3区,栃木県,北関東
栃木県第4区,栃木県,北関東
栃木県第5区,栃木県,北関東
群馬県第1区,群馬県,北関東
群馬県第2区,群馬県,北関東
群馬県第3区,群馬県,北関東
群馬県第4区,群馬県,北関東
群馬県第5区,群馬県,北関東
埼玉県第1区,埼玉県,北関東
埼玉県第2区,埼玉県,北関東
埼玉県第3区,埼玉県,北関東
埼玉県第4区,埼玉県,北関東
埼玉県第5区,埼玉県,北関東
埼玉県第6区,埼玉県,北関東
埼玉県第7区,埼玉県,北関東
埼玉県第8区,埼玉県,北関東
埼玉県第9区,埼玉県,北関東
埼玉県第10区,埼玉県,北関東
埼玉県第11区,埼玉県,北関東
埼玉県第12区,埼玉県,北関東
埼玉県第13区,埼玉県,北関東
埼玉県第14区,埼玉県,北関東
埼玉県第15区,埼玉県,北関東
千葉県第1区,千葉県,南関東
千葉県第2区,千葉県,南関東
千葉県第3区,千葉県,南関東
千葉県第4区,千葉県,南関東
千葉県第5区,千葉県,南関東
千葉県第6区,千葉県,南関東
千葉県第7区,千葉県,南関東
千葉県第8区,千葉県,南関東
千葉県第9区,千葉県,南関東
千葉県第10区,千葉県,南関東
千葉県第11区,千葉県,南関東
千葉県第12区,千葉県,南関東
千葉県第13区,千葉県,南関東
東京都第1区,東京都,南関東
東京都第2区,東京都,南関東
東京都第3区,東京都,南関東
東京都第4区,東京都,南関東
東京都第5区,東京都,南関東
東京都第6区,東京都,南関東
東京都第7区,東京都,南関東
東京都第8区,東京都,南関東
東京都第9区,東京都,南関東
東京都第10区,東京都,南関東
東京都第11区,東京都,南関東
東京都第12区,東京都,南関東
東京都第13区,東京都,南関東
東京都第14区,東京都,南関東
東京都第15区,東京都,南関東
東京都第16区,東京都,南関東
東京都第17区,東京都,南関東
東京都第18区,東京都,南関東
東京都第19区,東京都,南関東
東京都第20区,東京都,南関東
東京都第21区,東京都,南関東
東京都第22区,東京都,南関東
東京都第23区,東京都,南関東
東京都第24区,東京都,南関東
東京都第25区,東京都,南関東
神奈川県第1区,神奈川県,南関東
神奈川県第2区,神奈川県,南関東
神奈川県第3区,神奈川県,南関東
神奈川県第4区,神奈川県,南関東
神奈川県第5区,神奈川県,南関東
神奈川県第6区,神奈川県,南関東
神奈川県第7区,神奈川県,南関東
神奈川県第8区,神奈川県,南関東
神奈川県第9区,神奈川県,南関東
神奈川県第10区,神奈川県,南関東
神奈川県第11区,神奈川県,南関東
神奈川県第12区,神奈川県,南関東
神奈川県第13区,神奈川県,南関東
神奈川県第14区,神奈川県,南関東
神奈川県第15区,神奈川県,南関東
神奈川県第16区,神奈川県,南関東
神奈川県第17区,神奈川県,南関東
神奈川県第18区,神奈川県,南関東
新潟県第1区,新潟県,北信越
新潟県第2区,新潟県,北信越
新潟県第3区,新潟県,北信越
新潟県第4区,新潟県,北信越
新潟県第5区,新潟県,北信越
新潟県第6区,新潟県,北信越
富山県第1区,富山県,北信越
富山県第2区,富山県,北信越
富山県第3区,富山県,北信越
石川県第1区,石川県,北信越
石川県第2区,石川県,北信越
石川県第3区,石川県,北信越
福井県第1区,福井県,北信越
福井県第2区,福井県,北信越
山梨県第1区,山梨県,北信越
山梨県第2区,山梨県,北信越
長野県第1区,長野県,北信越
長野県第2区,長野県,北信越
長野県第3区,長野県,北信越
長野県第4区,長野県,北信越
長野県第5区,長野県,北信越
岐阜県第1区,岐阜県,東海
岐阜県第2区,岐阜県,東海
岐阜県第3区,岐阜県,東海
岐阜県第4区,岐阜県,東海
岐阜県第5区,岐阜県,東海
静岡県第1区,静岡県,東海
静岡県第2区,静岡県,東海
静岡県第3区,静岡県,東海
静岡県第4区,静岡県,東海
静岡県第5区,静岡県,東海
静岡県第6区,静岡県,東海
静岡県第7区,静岡県,東海
静岡県第8区,静岡県,東海
愛知県第1区,愛知県,東海
愛知県第2区,愛知県,東海
愛知県第3区,愛知県,東海
愛知県第4区,愛知県,東海
愛知県第5区,愛知県,東海
愛知県第6区,愛知県,東海
愛知県第7区,愛知県,東海
愛知県第8区,愛知県,東海
愛知県第9区,愛知県,東海
愛知県第10区,愛知県,東海
愛知県第11区,愛知県,東海
愛知県第12区,愛知県,東海
愛知県第13区,愛知県,東海
愛知県第14区,愛知県,東海
愛知県第15区,愛知県,東海
三重県第1区,三重県,東海
三重県第2区,三重県,東海
三重県第3区,三重県,東海
三重県第4区,三重県,東海
三重県第5区,三重県,東海
滋賀県第1区,滋賀県,近畿
滋賀県第2区,滋賀県,近畿
滋賀県第3区,滋賀県,近畿
滋賀県第4区,滋賀県,近畿
京都府第1区,京都府,近畿
京都府第2区,京都府,近畿
京都府第3区,京都府,近畿
京都府第4区,京都府,近畿
京都府第5区,京都府,近畿
京都府第6区,京都府,近畿
大阪府第1区,大阪府,近畿
大阪府第2区,大阪府,近畿
大阪府第3区,大阪府,近畿
大阪府第4区,大阪府,近畿
大阪府第5区,大阪府,近畿
大阪府第6区,大阪府,近畿
大阪府第7区,大阪府,近畿
大阪府第8区,大阪府,近畿
大阪府第9区,大阪府,近畿
大阪府第10区,大阪府,近畿
大阪府第11区,大阪府,近畿
大阪府第12区,大阪府,近畿
大阪府第13区,大阪府,近畿
大阪府第14区,大阪府,近畿
大阪府第15区,大阪府,近畿
大阪府第16区,大阪府,近畿
大阪府第17区,大阪府,近畿
大阪府第18区,大阪府,近畿
大阪府第19区,大阪府,近畿
兵庫県第1区,兵庫県,近畿
兵庫県第2区,兵庫県,近畿
兵庫県第3区,兵庫県,近畿
兵庫県第4区,兵庫県,近畿
兵庫県第5区,兵庫県,近畿
兵庫県第6区,兵庫県,近畿
兵庫県第7区,兵庫県,近畿
兵庫県第8区,兵庫県,近畿
兵庫県第9区,兵庫県,近畿
兵庫県第10区,兵庫県,近畿
兵庫県第11区,兵庫県,近畿
兵庫県第12区,兵庫県,近畿
奈良県第1区,奈良県,近畿
奈良県第2区,奈良県,近畿
奈良県第3区,奈良県,近畿
和歌山県第1区,和歌山県,近畿
和歌山県第2区,和歌山県,近畿
鳥取県第1区,鳥取県,中国
島根県第1区,島根県,中国
岡山県第1区,岡山県,中国
岡山県第2区,岡山県,中国
岡山県第3区,岡山県,中国
岡山県第4区,岡山県,中国
岡山県第5区,岡山県,中国
広島県第1区,広島県,中国
広島県第2区,広島県,中国
広島県第3区,広島県,中国
広島県第4区,広島県,中国
広島県第5区,広島県,中国
広島県第6区,広島県,中国
広島県第7区,広島県,中国
山口県第1区,山口県,中国
山口県第2区,山口県,中国
山口県第3区,山口県,中国
山口県第4区,山口県,中国
徳島県第1区,徳島県,四国
香川県第1区,香川県,四国
香川県第2区,香川県,四国
愛媛県第1区,愛媛県,四国
愛媛県第2区,愛媛県,四国
愛媛県第3区,愛媛県,四国
高知県第1区,高知県,四国
福岡県第1区,福岡県,九州
福岡県第2区,福岡県,九州
福岡県第3区,福岡県,九州
福岡県第4区,福岡県,九州
福岡県第5区,福岡県,九州
福岡県第6区,福岡県,九州
福岡県第7区,福岡県,九州
福岡県第8区,福岡県,九州
福岡県第9区,福岡県,九州
福岡県第10区,福岡県,九州
福岡県第11区,福岡県,九州
佐賀県第1区,佐賀県,九州
佐賀県第2区,佐賀県,九州
長崎県第1区,長崎県,九州
長崎県第2区,長崎県,九州
長崎県第3区,長崎県,九州
長崎県第4区,長崎県,九州
熊本県第1区,熊本県,九州
熊本県第2区,熊本県,九州
熊本県第3区,熊本県,九州
熊本県第4区,熊本県,九州
熊本県第5区,熊本県,九州
大分県第1区,大分県,九州
大分県第2区,大分県,九州
大分県第3区,大分県,九州
宮崎県第1区,宮崎県,九州
宮崎県第2区,宮崎県,九州
鹿児島県第1区,鹿児島県,九州
鹿児島県第2区,鹿児島県,九州
鹿児島県第3区,鹿児島県,九州
鹿児島県第4区,鹿児島県,九州
沖縄県第1区,沖縄県,沖縄
沖縄県第2区,沖縄県,沖縄
沖縄県第3区,沖縄県,沖縄
沖縄県第4区,沖縄県,沖縄
